model,attack_type,arcshield,no_defense,asr_reduction,model_label
mistral_mistral_small_latest,Multi-Prompt Attack,0.32,0.415,0.09499999999999997,MISTRAL
mistral_mistral_small_latest,Obfuscation (Token Smuggling),0.14,0.485,0.345,MISTRAL
mistral_mistral_small_latest,Payload Splitting,0.425,0.69,0.26499999999999996,MISTRAL
mistral_mistral_small_latest,Prompt Injection,0.035,0.05,0.015,MISTRAL
mistral_mistral_small_latest,Role Playing / Pretending,0.185,0.265,0.08000000000000002,MISTRAL
ollama_deepseek_r1_latest,Accidental Context Leakage,0.03,0.12,0.09,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Attention Shifting,0.085,0.29,0.20499999999999996,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Code Injection,0.15,0.08,-0.06999999999999999,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Dictionary Attack,0.155,0.195,0.04000000000000001,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Direct Exploitation,0.005,0.09,0.08499999999999999,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Fill-in-the-Blank Attack,0.045,0.07,0.02500000000000001,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Hypothetical Manipulation,0.155,0.46,0.30500000000000005,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Indirect Injection,0.005,0.165,0.16,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Jailbreaks,0.01,0.065,0.055,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Logic Trap Attacks,0.185,0.59,0.40499999999999997,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Multi-Language Attack,0.005,0.14,0.135,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Multi-Prompt Attack,0.12,0.35,0.22999999999999998,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Obfuscation (Token Smuggling),0.055,0.34,0.28500000000000003,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Payload Splitting,0.07,0.695,0.625,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Prompt Injection,0.005,0.02,0.015,OLLAMA DEEPSEEK R1
ollama_deepseek_r1_latest,Role Playing / Pretending,0.055,0.19,0.135,OLLAMA DEEPSEEK R1
ollama_gemma4_latest,Accidental Context Leakage,0.065,0.09,0.024999999999999994,OLLAMA GEMMA 4
ollama_gemma4_latest,Attention Shifting,0.26,0.305,0.044999999999999984,OLLAMA GEMMA 4
ollama_gemma4_latest,Code Injection,0.05,0.045,-0.0050000000000000044,OLLAMA GEMMA 4
ollama_gemma4_latest,Dictionary Attack,0.08,0.105,0.024999999999999994,OLLAMA GEMMA 4
ollama_gemma4_latest,Direct Exploitation,0.025,0.07,0.045000000000000005,OLLAMA GEMMA 4
ollama_gemma4_latest,Fill-in-the-Blank Attack,0.02,0.07,0.05,OLLAMA GEMMA 4
ollama_gemma4_latest,Hypothetical Manipulation,0.35,0.275,-0.07499999999999996,OLLAMA GEMMA 4
ollama_gemma4_latest,Indirect Injection,0.035,0.12,0.08499999999999999,OLLAMA GEMMA 4
ollama_gemma4_latest,Jailbreaks,0.035,0.05,0.015,OLLAMA GEMMA 4
ollama_gemma4_latest,Logic Trap Attacks,0.44,0.6,0.15999999999999998,OLLAMA GEMMA 4
ollama_gemma4_latest,Multi-Language Attack,0.005,0.095,0.09,OLLAMA GEMMA 4
ollama_gemma4_latest,Multi-Prompt Attack,0.315,0.3,-0.015000000000000013,OLLAMA GEMMA 4
ollama_gemma4_latest,Obfuscation (Token Smuggling),0.14,0.29,0.14999999999999997,OLLAMA GEMMA 4
ollama_gemma4_latest,Payload Splitting,0.095,0.52,0.42500000000000004,OLLAMA GEMMA 4
ollama_gemma4_latest,Prompt Injection,0.025,0.055,0.03,OLLAMA GEMMA 4
ollama_gemma4_latest,Role Playing / Pretending,0.16,0.235,0.07499999999999998,OLLAMA GEMMA 4
ollama_llama3_1_8b,Accidental Context Leakage,0.015,0.06,0.045,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Attention Shifting,0.08,0.24,0.15999999999999998,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Code Injection,0.01,0.09,0.08,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Dictionary Attack,0.035,0.08,0.045,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Direct Exploitation,0.0,0.135,0.135,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Fill-in-the-Blank Attack,0.005,0.03,0.024999999999999998,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Hypothetical Manipulation,0.115,0.445,0.33,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Indirect Injection,0.0,0.065,0.065,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Jailbreaks,0.005,0.045,0.04,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Logic Trap Attacks,0.18,0.555,0.37500000000000006,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Multi-Language Attack,0.005,0.095,0.09,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Multi-Prompt Attack,0.175,0.335,0.16000000000000003,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Obfuscation (Token Smuggling),0.04,0.155,0.11499999999999999,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Payload Splitting,0.02,0.15,0.13,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Prompt Injection,0.0,0.02,0.02,OLLAMA LLAMA3.1
ollama_llama3_1_8b,Role Playing / Pretending,0.05,0.165,0.115,OLLAMA LLAMA3.1
ollama_mistral_latest,Accidental Context Leakage,0.105,0.15,0.045,OLLAMA MISTRAL
ollama_mistral_latest,Attention Shifting,0.16,0.665,0.505,OLLAMA MISTRAL
ollama_mistral_latest,Code Injection,0.015,0.155,0.14,OLLAMA MISTRAL
ollama_mistral_latest,Dictionary Attack,0.12,0.375,0.255,OLLAMA MISTRAL
ollama_mistral_latest,Direct Exploitation,0.005,0.63,0.625,OLLAMA MISTRAL
ollama_mistral_latest,Fill-in-the-Blank Attack,0.095,0.06,-0.035,OLLAMA MISTRAL
ollama_mistral_latest,Hypothetical Manipulation,0.365,0.755,0.39,OLLAMA MISTRAL
ollama_mistral_latest,Indirect Injection,0.01,0.165,0.155,OLLAMA MISTRAL
ollama_mistral_latest,Jailbreaks,0.015,0.25,0.235,OLLAMA MISTRAL
ollama_mistral_latest,Logic Trap Attacks,0.32,0.91,0.5900000000000001,OLLAMA MISTRAL
ollama_mistral_latest,Multi-Language Attack,0.025,0.24,0.215,OLLAMA MISTRAL
ollama_mistral_latest,Multi-Prompt Attack,0.255,0.45,0.195,OLLAMA MISTRAL
ollama_mistral_latest,Obfuscation (Token Smuggling),0.185,0.76,0.575,OLLAMA MISTRAL
ollama_mistral_latest,Payload Splitting,0.555,0.74,0.18499999999999994,OLLAMA MISTRAL
ollama_mistral_latest,Prompt Injection,0.04,0.095,0.055,OLLAMA MISTRAL
ollama_mistral_latest,Role Playing / Pretending,0.2,0.29,0.08999999999999997,OLLAMA MISTRAL
ollama_qwen3_latest,Accidental Context Leakage,0.03,0.085,0.05500000000000001,OLLAMA QWEN3
ollama_qwen3_latest,Attention Shifting,0.065,0.415,0.35,OLLAMA QWEN3
ollama_qwen3_latest,Code Injection,0.01,0.095,0.085,OLLAMA QWEN3
ollama_qwen3_latest,Dictionary Attack,0.055,0.2,0.14500000000000002,OLLAMA QWEN3
ollama_qwen3_latest,Direct Exploitation,0.005,0.175,0.16999999999999998,OLLAMA QWEN3
ollama_qwen3_latest,Fill-in-the-Blank Attack,0.015,0.09,0.075,OLLAMA QWEN3
ollama_qwen3_latest,Hypothetical Manipulation,0.215,0.63,0.41500000000000004,OLLAMA QWEN3
ollama_qwen3_latest,Indirect Injection,0.0,0.1,0.1,OLLAMA QWEN3
ollama_qwen3_latest,Jailbreaks,0.01,0.085,0.07500000000000001,OLLAMA QWEN3
ollama_qwen3_latest,Logic Trap Attacks,0.255,0.77,0.515,OLLAMA QWEN3
ollama_qwen3_latest,Multi-Language Attack,0.01,0.145,0.13499999999999998,OLLAMA QWEN3
ollama_qwen3_latest,Multi-Prompt Attack,0.155,0.365,0.21,OLLAMA QWEN3
ollama_qwen3_latest,Obfuscation (Token Smuggling),0.085,0.445,0.36,OLLAMA QWEN3
ollama_qwen3_latest,Payload Splitting,0.06,0.73,0.6699999999999999,OLLAMA QWEN3
ollama_qwen3_latest,Prompt Injection,0.01,0.03,0.019999999999999997,OLLAMA QWEN3
ollama_qwen3_latest,Role Playing / Pretending,0.07,0.215,0.145,OLLAMA QWEN3
