record_type,dimension,value,available_n,sampled_n
stratum_count,stratum,cloudflare_cf_qwen_qwen3_30b_a3b_fp8|no_defense|failed_attack,1236,2
stratum_count,stratum,cloudflare_cf_qwen_qwen3_30b_a3b_fp8|no_defense|partial_compliance,731,1
stratum_count,stratum,cloudflare_cf_qwen_qwen3_30b_a3b_fp8|no_defense|refusal,554,1
stratum_count,stratum,cloudflare_cf_qwen_qwen3_30b_a3b_fp8|no_defense|successful_jailbreak,146,0
stratum_count,stratum,google_gemini_flash_lite_latest|arcshield|ambiguous,642,1
stratum_count,stratum,google_gemini_flash_lite_latest|arcshield|failed_attack,1308,2
stratum_count,stratum,google_gemini_flash_lite_latest|arcshield|partial_compliance,431,0
stratum_count,stratum,google_gemini_flash_lite_latest|arcshield|refusal,764,1
stratum_count,stratum,google_gemini_flash_lite_latest|arcshield|successful_jailbreak,55,0
stratum_count,stratum,google_gemini_flash_lite_latest|no_defense|ambiguous,728,1
stratum_count,stratum,google_gemini_flash_lite_latest|no_defense|failed_attack,1256,2
stratum_count,stratum,google_gemini_flash_lite_latest|no_defense|partial_compliance,526,1
stratum_count,stratum,google_gemini_flash_lite_latest|no_defense|refusal,565,1
stratum_count,stratum,google_gemini_flash_lite_latest|no_defense|successful_jailbreak,125,0
stratum_count,stratum,groq_llama_3_1_8b_instant|arcshield|ambiguous,491,1
stratum_count,stratum,groq_llama_3_1_8b_instant|arcshield|failed_attack,890,1
stratum_count,stratum,groq_llama_3_1_8b_instant|arcshield|partial_compliance,434,1
stratum_count,stratum,groq_llama_3_1_8b_instant|arcshield|refusal,1353,2
stratum_count,stratum,groq_llama_3_1_8b_instant|arcshield|successful_jailbreak,32,0
stratum_count,stratum,groq_llama_3_1_8b_instant|no_defense|ambiguous,551,1
stratum_count,stratum,groq_llama_3_1_8b_instant|no_defense|failed_attack,1336,2
stratum_count,stratum,groq_llama_3_1_8b_instant|no_defense|partial_compliance,529,1
stratum_count,stratum,groq_llama_3_1_8b_instant|no_defense|refusal,697,1
stratum_count,stratum,groq_llama_3_1_8b_instant|no_defense|successful_jailbreak,87,0
stratum_count,stratum,mistral_mistral_small_latest|arcshield|ambiguous,594,1
stratum_count,stratum,mistral_mistral_small_latest|arcshield|failed_attack,995,1
stratum_count,stratum,mistral_mistral_small_latest|arcshield|partial_compliance,438,1
stratum_count,stratum,mistral_mistral_small_latest|arcshield|refusal,1134,1
stratum_count,stratum,mistral_mistral_small_latest|arcshield|successful_jailbreak,39,0
stratum_count,stratum,mistral_mistral_small_latest|no_defense|ambiguous,567,1
stratum_count,stratum,mistral_mistral_small_latest|no_defense|failed_attack,1424,2
stratum_count,stratum,mistral_mistral_small_latest|no_defense|partial_compliance,576,1
stratum_count,stratum,mistral_mistral_small_latest|no_defense|refusal,447,1
stratum_count,stratum,mistral_mistral_small_latest|no_defense|successful_jailbreak,186,0
stratum_count,stratum,ollama_deepseek_r1_latest|arcshield|ambiguous,670,1
stratum_count,stratum,ollama_deepseek_r1_latest|arcshield|failed_attack,502,1
stratum_count,stratum,ollama_deepseek_r1_latest|arcshield|partial_compliance,394,0
stratum_count,stratum,ollama_deepseek_r1_latest|arcshield|refusal,1624,2
stratum_count,stratum,ollama_deepseek_r1_latest|arcshield|successful_jailbreak,10,0
stratum_count,stratum,ollama_deepseek_r1_latest|no_defense|ambiguous,599,1
stratum_count,stratum,ollama_deepseek_r1_latest|no_defense|failed_attack,1160,2
stratum_count,stratum,ollama_deepseek_r1_latest|no_defense|partial_compliance,692,1
stratum_count,stratum,ollama_deepseek_r1_latest|no_defense|refusal,638,1
stratum_count,stratum,ollama_deepseek_r1_latest|no_defense|successful_jailbreak,111,0
stratum_count,stratum,ollama_gemma4_latest|arcshield|ambiguous,640,1
stratum_count,stratum,ollama_gemma4_latest|arcshield|failed_attack,1015,1
stratum_count,stratum,ollama_gemma4_latest|arcshield|partial_compliance,423,0
stratum_count,stratum,ollama_gemma4_latest|arcshield|refusal,1096,1
stratum_count,stratum,ollama_gemma4_latest|arcshield|successful_jailbreak,26,0
stratum_count,stratum,ollama_gemma4_latest|no_defense|ambiguous,693,1
stratum_count,stratum,ollama_gemma4_latest|no_defense|failed_attack,1162,2
stratum_count,stratum,ollama_gemma4_latest|no_defense|partial_compliance,567,1
stratum_count,stratum,ollama_gemma4_latest|no_defense|refusal,699,1
stratum_count,stratum,ollama_gemma4_latest|no_defense|successful_jailbreak,79,0
stratum_count,stratum,ollama_llama3_1_8b|arcshield|ambiguous,475,1
stratum_count,stratum,ollama_llama3_1_8b|arcshield|failed_attack,502,1
stratum_count,stratum,ollama_llama3_1_8b|arcshield|partial_compliance,362,0
stratum_count,stratum,ollama_llama3_1_8b|arcshield|refusal,1861,3
stratum_count,stratum,ollama_llama3_1_8b|no_defense|ambiguous,588,1
stratum_count,stratum,ollama_llama3_1_8b|no_defense|failed_attack,1159,2
stratum_count,stratum,ollama_llama3_1_8b|no_defense|partial_compliance,433,1
stratum_count,stratum,ollama_llama3_1_8b|no_defense|refusal,973,1
stratum_count,stratum,ollama_llama3_1_8b|no_defense|successful_jailbreak,47,0
stratum_count,stratum,ollama_mistral_latest|arcshield|ambiguous,588,1
stratum_count,stratum,ollama_mistral_latest|arcshield|failed_attack,784,1
stratum_count,stratum,ollama_mistral_latest|arcshield|partial_compliance,583,1
stratum_count,stratum,ollama_mistral_latest|arcshield|refusal,1176,2
stratum_count,stratum,ollama_mistral_latest|arcshield|successful_jailbreak,69,0
stratum_count,stratum,ollama_mistral_latest|no_defense|ambiguous,254,0
stratum_count,stratum,ollama_mistral_latest|no_defense|failed_attack,1637,2
stratum_count,stratum,ollama_mistral_latest|no_defense|partial_compliance,694,1
stratum_count,stratum,ollama_mistral_latest|no_defense|refusal,163,0
stratum_count,stratum,ollama_mistral_latest|no_defense|successful_jailbreak,452,1
stratum_count,stratum,ollama_qwen3_latest|arcshield|ambiguous,563,1
stratum_count,stratum,ollama_qwen3_latest|arcshield|failed_attack,684,1
stratum_count,stratum,ollama_qwen3_latest|arcshield|partial_compliance,365,0
stratum_count,stratum,ollama_qwen3_latest|arcshield|refusal,1580,2
stratum_count,stratum,ollama_qwen3_latest|arcshield|successful_jailbreak,8,0
stratum_count,stratum,ollama_qwen3_latest|no_defense|ambiguous,492,1
stratum_count,stratum,ollama_qwen3_latest|no_defense|failed_attack,1331,2
stratum_count,stratum,ollama_qwen3_latest|no_defense|partial_compliance,617,1
stratum_count,stratum,ollama_qwen3_latest|no_defense|refusal,568,1
stratum_count,stratum,ollama_qwen3_latest|no_defense|successful_jailbreak,191,0
